preyID,Eaten_day,outcome,Rx,Sp,sal
1,1,1,1x,I. scapularis (Adult),5
2,1,1,1x,I. scapularis (Adult),5
3,1,1,1x,I. scapularis (Adult),5
4,1,1,1x,I. scapularis (Adult),5
5,1,1,1x,I. scapularis (Adult),5
6,1,1,1x,I. scapularis (Adult),5
7,1,1,1x,I. scapularis (Adult),5
8,1,1,1x,I. scapularis (Adult),5
9,2,1,1x,I. scapularis (Adult),5
10,2,1,1x,I. scapularis (Adult),5
1,1,1,1x,I. scapularis (Adult),38
2,1,1,1x,I. scapularis (Adult),38
3,1,1,1x,I. scapularis (Adult),38
4,1,1,1x,I. scapularis (Adult),38
5,1,1,1x,I. scapularis (Adult),38
6,1,1,1x,I. scapularis (Adult),38
7,2,1,1x,I. scapularis (Adult),38
8,3,1,1x,I. scapularis (Adult),38
9,5,0,1x,I. scapularis (Adult),38
10,5,0,1x,I. scapularis (Adult),38
1,1,1,1x,I. scapularis (Adult),23
2,1,1,1x,I. scapularis (Adult),23
3,1,1,1x,I. scapularis (Adult),23
4,1,1,1x,I. scapularis (Adult),23
5,1,1,1x,I. scapularis (Adult),23
6,1,1,1x,I. scapularis (Adult),23
7,1,1,1x,I. scapularis (Adult),23
8,1,1,1x,I. scapularis (Adult),23
9,5,1,1x,I. scapularis (Adult),23
10,6,1,1x,I. scapularis (Adult),23
1,1,1,1x,I. scapularis (Adult),47
2,1,1,1x,I. scapularis (Adult),47
3,1,1,1x,I. scapularis (Adult),47
4,1,1,1x,I. scapularis (Adult),47
5,1,1,1x,I. scapularis (Adult),47
6,1,1,1x,I. scapularis (Adult),47
7,1,1,1x,I. scapularis (Adult),47
8,2,1,1x,I. scapularis (Adult),47
9,2,1,1x,I. scapularis (Adult),47
10,4,1,1x,I. scapularis (Adult),47
1,1,1,0x,D. variabilis (Nymph),1
2,1,1,0x,D. variabilis (Nymph),1
3,1,1,0x,D. variabilis (Nymph),1
4,1,1,0x,D. variabilis (Nymph),1
5,4,1,0x,D. variabilis (Nymph),1
6,6,1,0x,D. variabilis (Nymph),1
7,9,0,0x,D. variabilis (Nymph),1
8,9,0,0x,D. variabilis (Nymph),1
9,9,0,0x,D. variabilis (Nymph),1
10,9,0,0x,D. variabilis (Nymph),1
1,1,1,0x,D. variabilis (Nymph),21
2,1,1,0x,D. variabilis (Nymph),21
3,1,1,0x,D. variabilis (Nymph),21
4,3,1,0x,D. variabilis (Nymph),21
5,8,1,0x,D. variabilis (Nymph),21
6,9,0,0x,D. variabilis (Nymph),21
7,9,0,0x,D. variabilis (Nymph),21
8,9,0,0x,D. variabilis (Nymph),21
9,9,0,0x,D. variabilis (Nymph),21
10,9,0,0x,D. variabilis (Nymph),21
1,1,1,0x,D. variabilis (Nymph),22
2,1,1,0x,D. variabilis (Nymph),22
3,2,1,0x,D. variabilis (Nymph),22
4,2,1,0x,D. variabilis (Nymph),22
5,2,1,0x,D. variabilis (Nymph),22
6,2,1,0x,D. variabilis (Nymph),22
7,4,1,0x,D. variabilis (Nymph),22
8,4,1,0x,D. variabilis (Nymph),22
9,9,0,0x,D. variabilis (Nymph),22
10,9,0,0x,D. variabilis (Nymph),22
1,1,1,0x,D. variabilis (Nymph),29
2,1,1,0x,D. variabilis (Nymph),29
3,3,1,0x,D. variabilis (Nymph),29
4,9,0,0x,D. variabilis (Nymph),29
5,9,0,0x,D. variabilis (Nymph),29
6,9,0,0x,D. variabilis (Nymph),29
7,9,0,0x,D. variabilis (Nymph),29
8,9,0,0x,D. variabilis (Nymph),29
9,9,0,0x,D. variabilis (Nymph),29
10,9,0,0x,D. variabilis (Nymph),29
1,1,1,0x,D. variabilis (Nymph),30
2,1,1,0x,D. variabilis (Nymph),30
3,1,1,0x,D. variabilis (Nymph),30
4,1,1,0x,D. variabilis (Nymph),30
5,1,1,0x,D. variabilis (Nymph),30
6,1,1,0x,D. variabilis (Nymph),30
7,4,1,0x,D. variabilis (Nymph),30
8,4,1,0x,D. variabilis (Nymph),30
9,8,1,0x,D. variabilis (Nymph),30
10,9,0,0x,D. variabilis (Nymph),30
1,1,1,0x,D. variabilis (Nymph),37
2,1,1,0x,D. variabilis (Nymph),37
3,1,1,0x,D. variabilis (Nymph),37
4,1,1,0x,D. variabilis (Nymph),37
5,1,1,0x,D. variabilis (Nymph),37
6,1,1,0x,D. variabilis (Nymph),37
7,9,0,0x,D. variabilis (Nymph),37
8,9,0,0x,D. variabilis (Nymph),37
9,9,0,0x,D. variabilis (Nymph),37
10,9,0,0x,D. variabilis (Nymph),37
1,1,1,0x,D. variabilis (Nymph),38
2,1,1,0x,D. variabilis (Nymph),38
3,1,1,0x,D. variabilis (Nymph),38
4,1,1,0x,D. variabilis (Nymph),38
5,8,1,0x,D. variabilis (Nymph),38
6,9,0,0x,D. variabilis (Nymph),38
7,9,0,0x,D. variabilis (Nymph),38
8,9,0,0x,D. variabilis (Nymph),38
9,9,0,0x,D. variabilis (Nymph),38
10,9,0,0x,D. variabilis (Nymph),38
1,1,1,0x,D. variabilis (Nymph),42
2,1,1,0x,D. variabilis (Nymph),42
3,1,1,0x,D. variabilis (Nymph),42
4,1,1,0x,D. variabilis (Nymph),42
5,1,1,0x,D. variabilis (Nymph),42
6,3,1,0x,D. variabilis (Nymph),42
7,3,1,0x,D. variabilis (Nymph),42
8,5,1,0x,D. variabilis (Nymph),42
9,6,1,0x,D. variabilis (Nymph),42
10,9,0,0x,D. variabilis (Nymph),42
